Año,PIB (anual (millones de pesos)),Crecimiento del PIB (% anual),TIIE (anual),CETES (anual),Índice Nacional de Precios al consumidor (% variación anual promedio),Tasa de Inflación (anual)
1996,14499129,6.218297159,25.57,31.33,47.10605962,27.7
1997,15542903,7.198876153,21.89,19.83,-40.08444301,15.72
1998,16504244,6.185078931,26.9,24.62,-21.25354474,18.61
1999,16958941,2.755030393,24,21.29,6.018897619,12.32
2000,17811854,5.029283994,16.96,15.27,-42.44243493,8.96
2001,17731550,-0.450845253,12.84,11.26,-33.07419546,4.4
2002,17689600,-0.236588002,8.15,7.08,-18.56678832,5.7
2003,17899318,1.185544867,6.79,6.24,-8.389206056,3.98
2004,18537508,3.565441009,7.17,6.84,5.728210683,5.19
2005,18929251,2.113247126,9.61,9.19,-12.76504029,3.33
2006,19838804,4.805013527,7.51,7.19,-5.319809085,4.05
2007,20251027,2.077863934,7.66,7.19,11.31596118,3.76
2008,20442062,0.943331863,8.28,7.68,29.61765771,6.53
2009,19155183,-6.295250558,5.91,5.39,10.00524241,3.57
2010,20107451,4.971334583,4.91,4.4,-19.18603721,4.4
2011,20799961,3.444045058,4.82,4.24,-17.28151393,3.82
2012,21539027,3.55321076,4.79,4.24,21.48952791,3.57
2013,21722561,0.852101559,4.28,3.75,-5.589986102,3.97
2014,22266443,2.503763503,3.51,3,7.991237148,4.08
2015,22868154,2.702323426,3.32,2.98,-31.55852957,2.13
2016,23273491,1.772493238,4.47,4.17,6.346397084,3.36
2017,23709107,1.871728533,7.05,6.69,115.0976687,6.77
2018,24176670,1.972082094,8,7.62,-17.20588697,4.83
2019,24081731,-0.251335755,8.32,7.85,-25.44652751,2.83
2020,22069935,-8.624555731,5.71,5.32,-2.902517201,3.15
2021,23404831,5.739208338,4.63,4.43,73.08517044,7.36
2022,24268261,3.948999999,7.91,7.66,44.39294133,7.82
2023,25044841,3.228736756,11.4,11.1,-28.46398151,4.66
