year,name,host_info
1930,World Cup 1930,"in Uruguay, July 13-30"
1934,World Cup 1934,"in Italy, May 27 - June 10"
1938,World Cup 1938,"in France, June 4-19"
1950,World Cup 1950,"in Brazil, June 24 - July 16"
1954,World Cup 1954,"in Switzerland, 16 June - 4 July"
1958,World Cup 1958,"in Sweden, 8 - 29 June"
1962,World Cup 1962,"in Chile, 30 May - 17 June"
1966,World Cup 1966,"in England, 11 - 30 July"
1970,World Cup 1970,"in Mexico, 31 May - 21 June"
1974,World Cup 1974,"in West Germany, 13 June - 7 July"
1978,World Cup 1978,"in Argentina, 1 - 25 June"
1982,World Cup 1982,in Spain 13 June - 11 July
1986,World Cup 1986,"in Mexico, 31 May-29 June"
1990,World Cup 1990,"in Italy, 8 June - 8 July 1990"
1994,World Cup 1994,"in United States, June 17 - July 17"
1998,World Cup 1998,"in France, 10 June - 12 July"
2002,World Cup 2002,"in Korea n Japan, 31 May - 30 June"
2006,World Cup 2006,in Germany / Deutschland
2010,World Cup 2010,in South Africa
2014,World Cup 2014,Finals
2018,World Cup 2018,Finals
2022,World Cup 2022,"in Qatar, November 20 - December 18"
